ID,PopTotal,PopUnder5,Pop5To9,Pop10To14,Pop15To19
4013422503,6946,577,463,365,292
4013422504,5144,506,389,329,345
4013422506,4854,457,391,310,220
4013422507,4473,172,338,226,332
4013422508,3002,63,165,276,259
4013422509,5023,407,320,379,211
4013422510,3086,178,185,248,219
4013422511,2722,130,182,325,222
4013422512,4891,240,307,412,522
4013422513,4408,292,325,295,346
4013422514,5795,504,449,336,380
4013422606,11064,968,1178,1230,859
4013422607,4198,128,0,102,0
4013422609,4556,184,223,240,202
4013422610,3138,0,57,13,47
4013422615,7098,508,582,557,646
4013422616,4779,222,202,473,197
4013422617,5846,370,337,648,593
4013422618,2632,0,0,0,0
4013422620,3262,223,274,295,299
4013422621,4476,456,417,398,342
4013422622,4091,202,301,422,362
4013422623,7425,637,467,1021,885
4013422624,2589,0,0,0,0
4013422625,4541,228,153,283,302
4013422626,2664,37,72,92,66
4013422627,3723,57,138,213,208
4013422628,3472,98,367,429,173
4013422629,3103,155,76,204,203
4013422630,4999,154,241,298,395
4013422631,4512,324,188,268,331
4013422632,3992,171,160,175,150
4013422633,2966,138,186,184,245
4013422634,5069,225,315,243,327
4013422635,1791,91,8,8,61
4013422636,2661,105,232,69,78
4013422637,3487,295,248,152,265
4013422638,4390,401,247,428,363
4013422639,3603,0,40,0,0
4013422640,4563,186,356,285,131
4013422641,7881,676,711,599,650
4013422642,5533,249,351,433,374
4013422643,6065,418,740,520,452
4013422644,9764,512,667,819,442
4013422646,13026,924,1222,1485,1179
4013522800,981,104,11,0,294
4013522901,4387,245,199,296,285
4013522903,4765,411,361,383,368
4013522904,4795,280,400,310,453
4013523002,5676,234,399,563,437
4013523003,6678,94,484,565,405
4013523005,4741,270,205,359,250
4013523006,5910,338,437,654,378
4013523102,5540,336,481,464,551
4013523103,5751,547,198,422,449
4013523104,6136,494,354,329,546
4013610000,8147,338,621,499,493
4013610100,630,13,35,53,46
4013610200,7313,119,233,433,558
4013610300,9538,452,905,787,938
4013610400,5617,393,521,526,597
4013610500,7271,206,270,259,408
4013610600,6069,394,443,609,321
4013610700,7048,195,335,358,391
4013610800,5472,504,521,432,280
